title,description,Thriller,Classics,Romance,Mystery,Science,Literature,Fantasy,Historical,Fiction
Bleak House,"The complex story of a notorious law-suit in which love and inheritance are set against the classic urban background of 19th-century London, where fog on the river, seeping into the very bones of the characters, symbolizes the corruption of the legal system and the society which supports it.“Jarndyce and Jarndyce” is an infamous lawsuit that has been in process for generations. Nobody can remember exactly how the case started but many different individuals have found their fortunes caught up in it. Esther Summerson watches as her friends and neighbours are consumed by their hopes and disappointments with the proceedings. But while the intricate puzzles of the lawsuit are being debated by lawyers, other more dramatic mysteries are unfolding that involve heartbreak, lost children, blackmail and murder.The fog and cold that permeate Bleak House mirror a Victorian England mired in spiritual insolvency. Dickens brought all his passion, brilliance, and narrative verve to this huge novel of lives entangled in a multi-generational lawsuit—and through it, he achieved, at age 41, a stature almost Shakespearean.",0,1,0,0,0,1,0,1,1
com نسيان,"هذا الكتاب للكاتبة الشهيرة والتي ""صُنّفت من بين النساء العشر الأكثر تأثيراً في العالم العربي، والأولى في مجال الأدب بتجاوز مبيعات كتبها مليونين وثلاثمئة ألف نسخة""، هو ""جردة نسائية ضدّ الذكورة، دفاعاً عن الرجولة، تلك الآسرة التي نباهي بوقوعنا في فتنتها، إذ من دونها ما كنّا لنكون إناثاً ولا نساءً"". بلغتها البليغة الجميلة والمباشرة والواضحة، تعبّر الكاتبة عن حقائق موجودة وواقعية وحسية، لا تتخيل منها شيئا، بل قد تتعدى أحياناً تفاصيل واقعها الفعلي حدود أي خيال رحب، ثم تصل إلى نتائج واستنتاجات وبيانات وأحكام ونصائح مهما اختلفت الاراء في تأثيرها ومفعولها وحكمتها، ومهما تنوعت ردود الفعل عليها، فإن مصدرها صادق وغني ونابع من تجربة ومن فضول ميداني بعيد كل البعد عن التنظير والنظرية، يكشف بالكشافات الضوئية الساطعة كل زوايا وخفايا ما يدور في ساحات مساحات واسعة حقيقية. تشكو الكاتبة من اختفاء رجولة ""الرجال""، بما معناه اختفاء كل الصفات الأخلاقية والعشقية الحميدة التي تتوخاها المرأة منهم، فكيف الخلاص للمرأة في حبها للرجل؟ تجد لها حلا وتنصحها وتدعوها: ""أحبيه كما لم تحب امرأة/ وانسيه كما ينسى الرجال""، هي لا تتوق إلى التماثل مع الرجال ""قليلي الحب""، بصورتهم الحالية المندّد بها، فلتبق المرأة على طبيعتها الأصلية في حبها ومحبتها للرجل، ولتتعلم فقط كيف تكون كالرجال في النسيان. تأتي الكاتبة على ذكر العديد من الشعراء والفلاسفة والكتّاب، وتستشهد بأقوالهم وأحاديثهم التي تقوّي عصب موضوعها وتغنيه: ""لا يمكن حصر عدد الكتّاب الذين، عبر الأزمنة والحضارات وبكل اللغات، عملوا مرشدين عاطفيين للتائهين من العشاق في الأزقة والشوارع الجانبية للحبّ. ليس لي هذا الادّعاء. أنا مجرد ممرضة لا تملك سوى حقيبة إسعافات أوّلية لإيقاف نزيف القلوب الأنثوية عند الفراق "". ""في النهاية، ما النسيان سوى قلب صفحة من كتاب العمر""، لكن قد يكون وزن الصفحة ثقيلا بحيث وجدت الكاتبة لنفسها دوراً في تخفيف هذا الوزن ما استطاعت، بل وقلب الصفحة نيابة عن القارئ. تقول بتواضع وهدف عملي نبيل: ""دعوني أحاول، ربما استطعت قلب صفحتكم هذه. ذلك أنه من الأسهل قلب صفحة الآخرين"". يتضمن الكتاب المرفق بـ C.D بعنوان ""أيها النسيان هبني قبلتك"" من كلمات الكاتبة، وألحان وغناء جاهدة وهبي، عدداً من إشارات الفصول تحمل هذه العناوين: هكذا تورطت في هذا الكتاب، وهاتف النسيان، ونصائح بقطيع من الجمال، وصفات لنسيان رجل، وكما ينسى الرجال، وكمائن الذاكرة، ونساء في مهبّ النسيان، ومن قصص النساء الغبيات، وتانغو النسيان وميثاق شرف أنثوي. كتاب ممتع وملفت ومثير للمعرفة وللجدل في مواضيع تهم القرّاء، فيه الكثير من الحقائق والأحاسيس وجعبة من الاستنتاجات حصيلة تجارب ومراقبة ميدانية للأوضاع بحيث يمكن لأي امرأة، ولأي رجل، الاستفادة من صدقها وواقعيتها",0,0,1,0,0,1,0,0,1
The School for Good and Evil #1The School for Good and Evil,"The first kidnappings happened two hundred years before. Some years it was two boys taken, some years two girls, sometimes one of each. But if at first the choices seemed random, soon the pattern became clear. One was always beautiful and good, the child every parent wanted as their own. The other was homely and odd, an outcast from birth. An opposing pair, plucked from youth and spirited away.This year, best friends Sophie and Agatha are about to discover where all the lost children go: the fabled School for Good & Evil, where ordinary boys and girls are trained to be fairy tale heroes and villains. As the most beautiful girl in Gavaldon, Sophie has dreamed of being kidnapped into an enchanted world her whole life. With her pink dresses, glass slippers, and devotion to good deeds, she knows she’ll earn top marks at the School for Good and graduate a storybook princess. Meanwhile Agatha, with her shapeless black frocks, wicked pet cat, and dislike of nearly everyone, seems a natural fit for the School for Evil.But when the two girls are swept into the Endless Woods, they find their fortunes reversed—Sophie’s dumped in the School for Evil to take Uglification, Death Curses, and Henchmen Training, while Agatha finds herself in the School For Good, thrust amongst handsome princes and fair maidens for classes in Princess Etiquette and Animal Communication. But what if the mistake is actually the first clue to discovering who Sophie and Agatha really are…?",0,0,1,0,0,0,1,0,1
The Third Policeman,"The Third Policeman is Flann O'Brien's brilliantly dark comic novel about the nature of time, death, and existence. Told by a narrator who has committed a botched robbery and brutal murder, the novel follows him and his adventures in a two-dimensional police station where, through the theories of the scientist/philosopher de Selby, he is introduced to ""Atomic Theory"" and its relation to bicycles, the existence of eternity (which turns out to be just down the road), and de Selby's view that the earth is not round but ""sausage-shaped."" With the help of his newly found soul named ""Joe,"" he grapples with the riddles and contradictions that three eccentric policeman present to him.The last of O'Brien's novels to be published, The Third Policeman joins O'Brien's other fiction (At Swim-Two-Birds, The Poor Mouth, The Hard Life, The Best of Myles, The Dalkey Archive) to ensure his place, along with James Joyce and Samuel Beckett, as one of Ireland's great comic geniuses.",0,1,0,0,0,1,1,0,1
Evelina,"Frances Burney's first and most enduringly popular novel is a vivid, satirical, and seductive account of the pleasures and dangers of fashionable life in late eighteenth-century London. As she describes her heroine's entry into society, womanhood and, inevitably, love, Burney exposes the vulnerability of female innocence in an image-conscious and often cruel world where social snobbery and sexual aggression are played out in the public arenas of pleasure-gardens, theatre visits, and balls. But Evelina's innocence also makes her a shrewd commentator on the excesses and absurdities of manners and social ambitions—as well as attracting the attention of the eminently eligible Lord Orville. Evelina, comic and shrewd, is at once a guide to fashionable London, a satirical attack on the new consumerism, an investigation of women's position in the late eighteenth century, and a love story. The new introduction and full notes to this edition help make this richness all the more readily available to a modern reader.",0,1,1,0,0,1,0,1,1
Born a Crime: Stories From a South African Childhood,"The memoir of one man’s coming-of-age, set during the twilight of apartheid and the tumultuous days of freedom that followed. Trevor Noah’s unlikely path from apartheid South Africa to the desk of The Daily Show began with a criminal act: his birth. Trevor was born to a white Swiss father and a black Xhosa mother at a time when such a union was punishable by five years in prison. Living proof of his parents’ indiscretion, Trevor was kept mostly indoors for the earliest years of his life, bound by the extreme and often absurd measures his mother took to hide him from a government that could, at any moment, steal him away. Finally liberated by the end of South Africa’s tyrannical white rule, Trevor and his mother set forth on a grand adventure, living openly and freely and embracing the opportunities won by a centuries-long struggle. Born a Crime is the story of a mischievous young boy who grows into a restless young man as he struggles to find himself in a world where he was never supposed to exist. It is also the story of that young man’s relationship with his fearless, rebellious, and fervently religious mother—his teammate, a woman determined to save her son from the cycle of poverty, violence, and abuse that would ultimately threaten her own life.",0,0,0,0,0,0,0,0,0
My Name Is Red,"At once a fiendishly devious mystery, a beguiling love story, and a brilliant symposium on the power of art, My Name Is Red is a transporting tale set amid the splendor and religious intrigue of sixteenth-century Istanbul, from one of the most prominent contemporary Turkish writers.The Sultan has commissioned a cadre of the most acclaimed artists in the land to create a great book celebrating the glories of his realm. Their task: to illuminate the work in the European style. But because figurative art can be deemed an affront to Islam, this commission is a dangerous proposition indeed. The ruling elite therefore mustn’t know the full scope or nature of the project, and panic erupts when one of the chosen miniaturists disappears. The only clue to the mystery–or crime? –lies in the half-finished illuminations themselves. Part fantasy and part philosophical puzzle, My Name is Red is a kaleidoscopic journey to the intersection of art, religion, love, sex and power.",0,0,0,1,0,1,0,1,1
New England Witch Chronicles #2Conjured,"After the disastrous fallout on Halloween and the tragic events that followed in the Hazel Cove Cemetery, Alexandria is left picking up the pieces of her broken life. Peter is adjusting. James hates her. Grandma Claudia is gone. Emma is incoherent. Victor went rogue. And Gamma still wants her dead.If that wasn't enough to deal with, two burning questions are driving Alex insane. Who committed that horrible murder in Salem? And what really happened to Ethan?Alex has come to terms with her new life, but she's yet to truly understand the ramifications of being a pureblooded witch in the supernatural world. And now there is a new danger on the horizon. Alex must find a way to fight. To survive. To protect her remaining family members and her closest friends from an unthinkable new enemy. One much more powerful and much more horrifying than the Gamma witch hunting fraternity.",0,0,1,0,0,0,1,0,0
Firefly Lane #1Firefly Lane,"From the New York Times bestselling author of On Mystic Lake comes a powerful novel of love, loss, and the magic of friendship. . . .In the turbulent summer of 1974, Kate Mularkey has accepted her place at the bottom of the eighth-grade social food chain. Then, to her amazement, the “coolest girl in the world” moves in across the street and wants to be her friend. Tully Hart seems to have it all---beauty, brains, ambition. On the surface they are as opposite as two people can be: Kate, doomed to be forever uncool, with a loving family who mortifies her at every turn. Tully, steeped in glamour and mystery, but with a secret that is destroying her. They make a pact to be best friends forever; by summer’s end they’ve become TullyandKate. Inseparable.So begins Kristin Hannah’s magnificent new novel. Spanning more than three decades and playing out across the ever-changing face of the Pacific Northwest, Firefly Lane is the poignant, powerful story of two women and the friendship that becomes the bulkhead of their lives.From the beginning, Tully is desperate to prove her worth to the world. Abandoned by her mother at an early age, she longs to be loved unconditionally. In the glittering, big-hair era of the eighties, she looks to men to fill the void in her soul. But in the buttoned-down nineties, it is television news that captivates her. She will follow her own blind ambition to New York and around the globe, finding fame and success . . . and loneliness. Kate knows early on that her life will be nothing special. Throughout college, she pretends to be driven by a need for success, but all she really wants is to fall in love and have children and live an ordinary life. In her own quiet way, Kate is as driven as Tully. What she doesn’t know is how being a wife and mother will change her . . . how she’ll lose sight of who she once was, and what she once wanted. And how much she’ll envy her famous best friend. . . .For thirty years, Tully and Kate buoy each other through life, weathering the storms of friendship---jealousy, anger, hurt, resentment. They think they’ve survived it all until a single act of betrayal tears them apart . . . and puts their courage and friendship to the ultimate test.Firefly Lane is for anyone who ever drank Boone’s Farm apple wine while listening to Abba or Fleetwood Mac. More than a coming-of-age novel, it’s the story of a generation of women who were both blessed and cursed by choices. It’s about promises and secrets and betrayals. And ultimately, about the one person who really, truly knows you---and knows what has the power to hurt you . . . and heal you. Firefly Lane is a story you’ll never forget . . . one you’ll want to pass on to your best friend.",0,0,1,0,0,0,0,1,1
Calvin and HobbesThe Authoritative Calvin and Hobbes: A Calvin and Hobbes Treasury,"This is a collection of Calvin and Hobbes cartoons. It contains Yukon Ho! and Weirdos from Another Planet as an omnibus edition, but also a story that has not been in print before. Bill Watterson won the 1986 Reuben Award as Outstanding Cartoonist of the Year.",0,0,0,0,0,0,0,0,1
Rain of Gold,"In Rain of Gold, Victor Villasenor weaves the parallel stories of two families and two countries…bringing us the timeless romance between the volatile bootlegger who would become his father and the beautiful Lupe, his mother–men and women in whose lives the real and the fantastical exist side by side…and in whose hearts the spirit to survive is fueled by a family’s unconditional love.",0,1,0,0,0,0,0,1,1
The Big Short: Inside the Doomsday Machine,"The #1 New York Times bestseller: ""It is the work of our greatest financial journalist, at the top of his game. And it's essential reading.""—Graydon Carter, Vanity FairThe real story of the crash began in bizarre feeder markets where the sun doesn't shine and the SEC doesn't dare, or bother, to tread: the bond and real estate derivative markets where geeks invent impenetrable securities to profit from the misery of lower- and middle-class Americans who can't pay their debts. The smart people who understood what was or might be happening were paralyzed by hope and fear; in any case, they weren't talking.Michael Lewis creates a fresh, character-driven narrative brimming with indignation and dark humor, a fitting sequel to his #1 bestseller Liar's Poker. Out of a handful of unlikely-really unlikely-heroes, Lewis fashions a story as compelling and unusual as any of his earlier bestsellers, proving yet again that he is the finest and funniest chronicler of our time.",0,0,0,0,0,0,0,0,0
Mateguas Island #1Mateguas Island,"What could be more idyllic than to live on an island off the coast of Maine? That's what Bill Andersen thought when he moved his family to Mateguas. But Mateguas is more than just pristine beaches nestled between rocky shores. No, Mateguas is really something quite different….2015 OUTSTANDING NOVEL IN HORROR/SUSPENSE, IAN BOOK OF THE YEAR AWARDS2014 FIRST PLACE AWARD in CONTEMPORARY GOTHIC, PARANORMAL AWARDS, CHANTICLEER REVIEW2014 GOLD MEDAL WINNER, SUPERNATURAL FICTION, READERS' FAVORITE INTERNATIONAL BOOK AWARD COMPETITION2014 Honorable Mention in General Fiction, HALLOWEEN BOOK FESTIVAL, L.A.",0,0,0,1,0,0,1,0,1
Brideshead Revisited,"The most nostalgic and reflective of Evelyn Waugh's novels, Brideshead Revisited looks back to the golden age before the Second World War. It tells the story of Charles Ryder's infatuation with the Marchmains and the rapidly-disappearing world of privilege they inhabit. Enchanted first by Sebastian at Oxford, then by his doomed Catholic family, in particular his remote sister, Julia, Charles comes finally to recognize only his spiritual and social distance from them.",0,1,0,0,0,1,0,1,1
The Lady Janies #1My Lady Jane,"This comical, fantastical, romantical, New York Times bestselling, (not) entirely true story of Lady Jane Grey is “an uproarious historical fantasy that’s not to be missed” (Publishers Weekly, starred review).In My Lady Jane, coauthors Cynthia Hand, Brodi Ashton, and Jodi Meadows have created a one-of-a-kind YA fantasy in the tradition of The Princess Bride, featuring a reluctant king, an even more reluctant queen, a noble steed, and only a passing resemblance to actual history—because sometimes history needs a little help.At sixteen, Lady Jane Grey is about to be married off to a stranger and caught up in a conspiracy to rob her cousin, King Edward, of his throne. But those trifling problems aren’t for Jane to worry about. Jane gets to be Queen of England.Like that could go wrong.",0,0,1,0,0,0,1,1,1
Catwings #1Catwings,"The bestselling Catwings series!Mrs. Jane Tabby can't explain why her four precious kittens were born with wings, but she's grateful that they are able to use their flying skills to soar away from the dangerous city slums where they were born. However, once the kittens escape the big city, they learn that country life can be just as difficult!",0,0,0,0,0,0,1,0,1
Pride and Prejudice and Zombies #1Pride and Prejudice and Zombies,"“It is a truth universally acknowledged that a zombie in possession of brains must be in want of more brains.”So begins Pride and Prejudice and Zombies, an expanded edition of the beloved Jane Austen novel featuring all-new scenes of bone-crunching zombie mayhem. As our story opens, a mysterious plague has fallen upon the quiet English village of Meryton—and the dead are returning to life! Feisty heroine Elizabeth Bennet is determined to wipe out the zombie menace, but she’s soon distracted by the arrival of the haughty and arrogant Mr. Darcy. What ensues is a delightful comedy of manners with plenty of civilized sparring between the two young lovers—and even more violent sparring on the blood-soaked battlefield. Can Elizabeth vanquish the spawn of Satan? And overcome the social prejudices of the class-conscious landed gentry? Complete with romance, heartbreak, swordfights, cannibalism, and thousands of rotting corpses,",0,1,1,0,0,0,1,0,1
The Law of Attraction: The Basics of the Teachings of Abraham,"This book presents the powerful basics of the original Teachings of Abraham . Within these pages, you’ll learn how all things, wanted and unwanted, are brought to you by this most powerful law of the universe, the Law of Attraction. (that which is like unto itself is drawn). You’ve most likely heard the saying Law of Attraction has been alluded to by some of the greatest teachers in history, it has never before been explained in as clear and practical terms as in this latest book by New York Times best-selling authors, Esther and Jerry Hicks . Learn here about the omnipresent Laws that govern this Universe and how to make them work to your advantage. The understanding that you’ll achieve by reading this book will take all the guesswork out of daily living. You’ll finally understand just about everything that’s happening in your own life as well as in the lives of those you’re interacting with. This book will help you to joyously be, do, or have anything that you desire!",0,0,0,0,0,0,0,0,0
Tom's Midnight Garden,"When his brother catches measles, Tom is sent away for the summer to stay with his uncle and aunt and is thoroughly fed up about it. What a boring summer it's going to be. But then, lying in bed one night, he hears the old grandfather clock in the hall strike the very strange hour of 13 o'clock. What can it mean? As Tom creeps downstairs and opens the door, he finds out...a magical garden, a new playmate, and the adventure of a lifetime.",0,1,0,0,0,0,1,0,1
"Robot #0.1I, Robot","Isaac Asimov's I, Robot launches readers on an adventure into a not-so-distant future where man and machine , struggle to redefinelife, love, and consciousness—and where the stakes are nothing less than survival. Filled with unforgettable characters, mind-bending speculation, and nonstop action, I, Robot is a powerful reading experience from one of the master storytellers of our time. I, ROBOT They mustn't harm a human being, they must obey human orders, and they must protect their own existence...but only so long as that doesn't violate rules one and two. With these Three Laws of Robotics, humanity embarked on perhaps its greatest adventure: the invention of the first positronic man. It was a bold new era of evolution that would open up enormous possibilities—and unforeseen risks. For the scientists who invented the earliest robots weren't content that their creations should ' remain programmed helpers, companions, and semisentient worker-machines. And soon the robots themselves; aware of their own intelligence, power, and humanity, aren't either. As humans and robots struggle to survive together—and sometimes against each other—on earth and in space, the future of both hangs in the balance. Human men and women confront robots gone mad, telepathic robots, robot politicians, and vast robotic intelligences that may already secretly control the world. And both are asking the same questions: What is human? And is humanity obsolete? In l, Robot Isaac Asimov changes forever our perception of robots, and human beings and updates the timeless myth of man's dream to play god. with all its rewards—and terrors.--front flap",0,1,0,0,1,0,1,0,1
A Targaryen History #1Fire & Blood,"With all the fire and fury fans have come to expect from internationally bestselling author George R. R. Martin, this is the first volume of the definitive two-part history of the Targaryens in Westeros. Centuries before the events of A Game of Thrones, House Targaryen—the only family of dragonlords to survive the Doom of Valyria—took up residence on Dragonstone. Fire and Blood begins their tale with the legendary Aegon the Conqueror, creator of the Iron Throne, and goes on to recount the generations of Targaryens who fought to hold that iconic seat, all the way up to the civil war that nearly tore their dynasty apart. What really happened during the Dance of the Dragons? Why did it become so deadly to visit Valyria after the Doom? What is the origin of Daenerys’s three dragon eggs? These are but a few of the questions answered in this essential chronicle, as related by a learned maester of the Citadel and featuring more than eighty all-new black-and-white illustrations by artist Doug Wheatley. Readers have glimpsed small parts of this narrative in such volumes as The World of Ice & Fire, but now, for the first time, the full tapestry of Targaryen history is revealed. With all the scope and grandeur of Gibbon’s The History of the Decline and Fall of the Roman Empire, Fire and Blood is the ultimate game of thrones, giving readers a whole new appreciation for the dynamic, often bloody, and always fascinating history of Westeros.",0,0,0,0,0,0,1,0,1
The Hound of Death and Other Stories,"Twelve unexplained phenomena with no apparent earthly explanation, including a dog-shaped gunpowder mark; an omen from the ""other side""; a haunted house; a chilling seance; an elderly lady's hold over a young man; and a mysterious SOS.ContentsS.O.S. • (1926) • short story by Agatha ChristieThe Call of Wings • (1933) • short story by Agatha ChristieThe Fourth Man • (1933) • short story by Agatha ChristieThe Gipsy • (1933) • short story by Agatha ChristieThe Hound of Death • (1933) • short story by Agatha ChristieThe Lamp • (1933) • short story by Agatha ChristieThe Last Séance • (1926) • short story by Agatha ChristieThe Mystery of the Blue Jar • (1924) • short story by Agatha ChristieThe Red Signal • (1924) • short story by Agatha ChristieThe Strange Case of Sir Arthur Carmichael • (1933) • short story by Agatha ChristieThe Witness for the Prosecution • non-genre • (1924) • novelette by Agatha ChristieWireless • (1926) • short story by Agatha Christie",0,1,0,1,0,0,0,0,1
"Capital #2Capital: A Critique of Political Economy, Volume 2",Das Kapital. Kritik der politischen Ökonomie. Zweiter Band. Buch Der Zirkulationsprozeß des Kapitals.,0,1,0,0,0,0,0,0,0
